Wall time,Step,Value
1736289737.1768692,18,-11.563027381896973
1736289838.097711,42,-13.632709503173828
1736289850.7383509,45,-14.110011100769043
1736289897.0078633,56,-24.6772518157959
1736289960.2885864,71,-20.50003433227539
1736289973.2193198,74,-24.294601440429688
1736290060.1649249,94,-38.777931213378906
1736290355.2738872,155,-44.21628189086914
1736290373.7974865,158,-39.78595733642578
1736290429.708395,167,-39.416175842285156
1736290754.8787608,229,530.6381225585938
1736290777.94049,234,887.8121948242188
1736290874.7100008,255,1285.211669921875
1736290897.5750747,260,1432.6912841796875
1736290929.9309044,267,1487.7178955078125
1736290957.6585712,273,1395.101318359375
1736291118.8168805,308,1738.9691162109375
1736291127.9667065,310,1742.0262451171875
1736291165.1937,318,1877.956787109375
1736291298.6278977,347,2040.3055419921875
1736291390.1557703,367,2084.542236328125
1736291638.1580005,421,1657.66015625
1736291642.794762,422,2194.869140625
1736291734.8319561,442,2241.550537109375
1736291817.3385656,460,2416.7685546875
1736291881.2494113,474,2460.902099609375
1736292164.9931664,536,2200.85107421875
1736292292.355429,563,2243.113525390625
1736292386.2678733,579,2313.240966796875
1736292429.0547435,586,2228.345458984375
1736292435.1762993,587,2181.10986328125
1736292597.1013658,620,2189.387939453125
1736292660.9324827,634,2226.727783203125
1736292697.588586,642,2196.2529296875
1736292720.453931,647,2295.96630859375
1736292729.5778372,649,2315.591796875
1736292784.3114007,661,2359.79345703125
1736292829.9574323,671,2358.40869140625
1736293026.4574676,714,2443.9091796875
1736293062.8626714,722,2447.51318359375
1736293099.449645,730,2425.05419921875
1736293218.295991,756,2500.67626953125
1736293259.1474552,765,2446.359619140625
1736293277.3284738,769,2537.774658203125
1736293286.3397515,771,2527.43017578125
1736293348.3983283,785,2502.027099609375
1736293357.139657,787,2533.46240234375
1736293387.9288497,794,2591.89306640625
1736293423.1582046,802,2508.53466796875
1736293449.4411318,808,2567.509765625
1736293572.2563572,836,2371.80224609375
1736293892.6482973,909,2855.5673828125
1736294036.9609482,942,2785.221435546875
1736294050.0902865,945,2876.906005859375
1736294124.5515676,962,2798.822021484375
1736294166.8996265,971,2812.48583984375
1736294171.2116468,972,2846.81298828125
1736294197.2604594,978,2850.631103515625
1736294201.573528,979,2801.971435546875
1736294223.3588603,984,2853.76953125
1736294301.3876987,1002,2766.48388671875
1736294314.4202154,1005,2869.137451171875
1736294353.355333,1014,2844.300048828125
1736294565.117412,1063,2829.23681640625
1736294578.1383038,1066,2736.60107421875
1736294604.132664,1072,2716.777587890625
1736294630.100134,1078,2752.977783203125
1736294651.6319587,1083,2865.576904296875
1736294694.8940518,1093,2851.6787109375
1736294720.8970222,1099,2921.674560546875
1736294742.6048312,1104,2964.953857421875
1736294967.8009772,1156,3046.6904296875
1736294989.4962509,1161,2939.969970703125
1736294993.8762543,1162,2963.017578125
1736295071.714677,1180,2872.751708984375
1736295127.8414974,1193,2907.498779296875
1736295184.3321931,1206,2933.17724609375
1736295348.8269079,1244,3048.68115234375
1736295422.416921,1261,3014.5673828125
1736295508.9421182,1281,2899.767333984375
1736295565.3708944,1294,2970.89306640625
1736295660.7039719,1316,2944.36328125
1736295673.6953394,1319,2943.660400390625
