Wall time,Step,Value
1736277777.3663826,18,-2.215585708618164
1736277815.1653407,42,-6.864888668060303
1736277819.9026244,45,-8.721732139587402
1736277837.2781491,56,-8.834717750549316
1736277861.0202208,71,-12.247425079345703
1736277865.8507721,74,-14.201860427856445
1736277897.6041887,94,-0.8363747596740723
1736277995.5963817,155,-53.174320220947266
1736278000.4773142,158,-41.075191497802734
1736278015.0072455,167,213.5373077392578
1736278116.5030696,229,-259.5841979980469
1736278124.7549517,234,-222.68223571777344
1736278159.7630374,255,-235.69235229492188
1736278168.239604,260,-357.32733154296875
1736278179.9817631,267,-323.94879150390625
1736278189.8906736,273,112.73807525634766
1736278248.6514468,308,-369.73883056640625
1736278252.0471795,310,-356.8324279785156
1736278265.6726484,318,-306.5179443359375
1736278314.9559407,347,-629.1023559570312
1736278348.2068121,367,3.4058332443237305
1736278436.953766,421,301.81951904296875
1736278438.6570613,422,-630.2474975585938
1736278472.106692,442,782.2523193359375
1736278502.4433625,460,104.72465515136719
1736278525.7571487,474,-135.82737731933594
1736278629.2603273,536,883.84716796875
1736278674.6270108,563,431.2165832519531
1736278702.06996,579,-613.9674072265625
1736278714.1859055,586,-77.86662292480469
1736278715.9243584,587,404.9412536621094
1736278773.509643,620,-616.8995361328125
1736278797.93725,634,937.54150390625
1736278811.7164373,642,889.0805053710938
1736278820.4151664,647,859.1240844726562
1736278823.84544,649,910.4396362304688
1736278844.4660916,661,907.1503295898438
1736278861.6623204,671,839.458251953125
1736278934.928078,714,829.5314331054688
1736278948.7347894,722,831.5491333007812
1736278962.5111563,730,511.9735412597656
1736279007.6088297,756,596.2492065429688
1736279023.109681,765,631.1964111328125
1736279029.9362528,769,1035.4705810546875
1736279033.4163656,771,872.5706787109375
1736279057.9242513,785,113.4151382446289
1736279061.417375,787,517.5051879882812
1736279073.529391,794,864.984130859375
1736279087.3232136,802,468.3844299316406
1736279097.620112,808,566.3336181640625
1736279146.2523525,836,229.8111114501953
1736279271.9827795,909,952.6867065429688
1736279327.474654,942,970.7360229492188
1736279332.4109735,945,930.8900756835938
1736279360.8220084,962,162.89532470703125
1736279376.1725624,971,1045.5308837890625
1736279377.8824537,972,1023.3599243164062
1736279388.1022925,978,1011.69287109375
1736279389.9165504,979,999.0386962890625
1736279398.4192345,984,1050.2626953125
1736279429.6987495,1002,992.8245239257812
1736279434.9281511,1005,765.4468994140625
1736279450.7259388,1014,1094.5836181640625
1736279536.7384825,1063,834.8519287109375
1736279541.859718,1066,1088.6240234375
1736279552.2129586,1072,1000.7208862304688
1736279562.50149,1078,1077.6591796875
