Wall time,Step,Value
1736277876.300823,18,-2.741678237915039
1736277917.1173139,42,-11.420939445495605
1736277922.1672554,45,-20.29102897644043
1736277940.7439206,56,-17.62339973449707
1736277966.2411966,71,-16.108055114746094
1736277971.3413904,74,6.055388450622559
1736278005.8341033,94,-50.395076751708984
1736278112.6492574,155,-45.17631912231445
1736278118.0431283,158,-45.10791015625
1736278133.8085709,167,-28.78382110595703
1736278243.6772604,229,1367.6171875
1736278252.4672167,234,1431.627197265625
1736278289.065594,255,1627.5115966796875
1736278297.9534402,260,1656.35791015625
1736278310.1719778,267,1767.560791015625
1736278320.6610148,273,1734.98193359375
1736278381.9234097,308,1922.5513916015625
1736278385.3730798,310,1987.108642578125
1736278399.382546,318,1961.0445556640625
1736278450.105575,347,2218.701904296875
1736278485.3612738,367,2329.271240234375
1736278580.9906282,421,2405.11279296875
1736278582.750112,422,2322.395751953125
1736278618.0231893,442,2471.159423828125
1736278649.9681668,460,2254.433349609375
1736278674.6220083,474,2342.544677734375
1736278787.7892017,536,2268.516845703125
1736278836.9530702,563,2460.5068359375
1736278866.1461082,579,2654.933837890625
1736278878.7922103,586,2667.805908203125
1736278880.5929122,587,2692.62744140625
1736278940.450633,620,2814.53515625
1736278965.9012847,634,3054.324462890625
1736278980.2383971,642,3002.504150390625
1736278989.206487,647,2909.50146484375
1736278992.8215668,649,2999.754150390625
1736279014.6533048,661,3083.8046875
1736279032.7149806,671,3095.629150390625
1736279110.543463,714,3062.789306640625
1736279124.9215329,722,3096.068603515625
1736279139.4726303,730,3227.3623046875
1736279186.9301665,756,3244.243896484375
1736279203.3584633,765,3203.427978515625
1736279210.5528464,769,3090.08984375
1736279214.1798913,771,3170.476806640625
1736279239.737879,785,3308.81201171875
1736279243.335767,787,3323.00732421875
1736279256.0600169,794,3197.695068359375
1736279270.6273298,802,3332.557861328125
1736279281.493477,808,3273.562255859375
1736279331.7216284,836,3345.3642578125
1736279463.8590024,909,3375.91162109375
1736279523.381865,942,3212.45458984375
1736279528.8052335,945,3348.11962890625
1736279559.821781,962,3479.529296875
1736279576.2851365,971,3742.486328125
1736279578.1560345,972,3601.386962890625
1736279589.1526747,978,3618.00732421875
1736279591.0564373,979,3605.641357421875
1736279600.2014983,984,3601.411376953125
1736279633.249484,1002,3443.7197265625
1736279638.7014515,1005,3396.693359375
1736279655.1607227,1014,3610.459716796875
1736279745.2155166,1063,3422.991455078125
1736279750.8540623,1066,3479.96142578125
1736279761.9945645,1072,3442.486328125
1736279773.0613253,1078,3493.662109375
1736279782.3886182,1083,3448.65234375
1736279801.1014266,1093,3322.66845703125
1736279812.3604124,1099,3375.881591796875
1736279821.6221833,1104,3527.085693359375
1736279920.0301456,1156,3496.353271484375
1736279929.4741688,1161,3437.721435546875
1736279931.3150003,1162,3447.14501953125
1736279964.2315223,1180,3433.085693359375
