Wall time,Step,Value
1736290352.8585556,18,214.84608459472656
1736290477.4529421,42,527.1348876953125
1736290492.9080143,45,550.5900268554688
1736290549.1802368,56,703.8458251953125
1736290625.6296983,71,757.326904296875
1736290640.931723,74,805.2523193359375
1736290742.6728065,94,979.6310424804688
1736291054.284985,155,1191.5382080078125
1736291069.7558258,158,1080.8031005859375
1736291115.7147436,167,1000.5457153320312
1736291438.0342827,229,1180.62646484375
1736291464.582548,234,3133.781982421875
1736291583.1182866,255,3158.565673828125
1736291615.2885902,260,3253.241455078125
1736291663.2706811,267,1966.4522705078125
1736291703.8533196,273,3283.1279296875
1736291909.0717056,308,2440.672607421875
1736291919.752209,310,1141.1656494140625
1736291971.1004255,318,971.4116821289062
1736292165.1172907,347,1487.290283203125
1736292296.5215745,367,1323.4403076171875
1736292629.2941031,421,1303.9949951171875
1736292634.4591706,422,1680.0142822265625
1736292737.6724806,442,1809.640625
1736292830.1661756,460,1604.8450927734375
1736292903.0456684,474,3275.74169921875
1736293225.788143,536,1791.66943359375
1736293364.1127505,563,941.5033569335938
1736293445.8696024,579,996.5816650390625
1736293481.7542112,586,981.2657470703125
1736293486.8582156,587,1012.5174560546875
1736293655.7841685,620,1119.80859375
1736293729.9428225,634,3272.822998046875
1736293788.4821155,642,3297.93701171875
1736293825.0144715,647,3313.996337890625
1736293839.7581089,649,3303.2685546875
1736293915.6627812,661,2721.887939453125
1736293974.2170815,671,3311.303466796875
1736294222.0887303,714,3177.5673828125
1736294268.8228073,722,3112.910888671875
1736294311.858878,730,3137.7666015625
1736294474.7713518,756,3103.49755859375
1736294540.4304845,765,3102.357177734375
1736294565.1258967,769,3135.721923828125
1736294577.3131938,771,3140.291748046875
1736294659.9071612,785,3291.52880859375
1736294671.6552322,787,3274.403076171875
1736294712.3335342,794,3283.934326171875
1736294759.1566827,802,3270.33837890625
1736294794.4701762,808,3298.66845703125
1736294960.4603195,836,3270.16552734375
1736295373.513164,909,1784.355224609375
1736295547.3345604,942,3285.646240234375
1736295563.633218,945,3249.93212890625
1736295653.845022,962,3108.18212890625
1736295702.10968,971,3127.9267578125
1736295707.4846451,972,3122.9228515625
1736295740.0007565,978,3082.321533203125
1736295745.3104315,979,3083.98779296875
1736295771.896355,984,3129.576171875
1736295868.0070388,1002,3171.036376953125
1736295883.810659,1005,3113.99658203125
1736295931.9495585,1014,3184.3447265625
1736296195.7083638,1063,3145.779541015625
1736296211.8309648,1066,3160.867431640625
1736296243.6511497,1072,3202.138427734375
1736296276.1775513,1078,3209.9453125
1736296303.0799828,1083,3186.434326171875
1736296355.9021337,1093,3246.0126953125
1736296388.084139,1099,3248.119140625
1736296414.8028936,1104,3239.42041015625
1736296694.4943888,1156,3057.50048828125
1736296721.475301,1161,3070.12255859375
1736296726.832047,1162,3073.6533203125
1736296825.5510247,1180,3091.789794921875
1736296897.204038,1193,3026.3310546875
1736296967.4304004,1206,3001.377685546875
1736297217.4420393,1244,3093.615966796875
1736297376.1670713,1261,3153.088134765625
