Wall time,Step,Value
1736278206.3470268,18,225.75437927246094
1736278241.6273317,42,298.3500671386719
1736278245.987243,45,306.3165588378906
1736278262.0700152,56,381.142822265625
1736278284.3967865,71,417.25958251953125
1736278288.7388697,74,420.9400329589844
1736278317.885834,94,501.6330871582031
1736278409.3670478,155,288.5642395019531
1736278414.2513814,158,1770.3521728515625
1736278428.1894004,167,273.5078125
1736278524.0665982,229,1238.41552734375
1736278531.5979989,234,1346.250732421875
1736278564.489835,255,1847.0645751953125
1736278572.185653,260,673.9347534179688
1736278582.867118,267,270.8822326660156
1736278592.6601849,273,2517.08544921875
1736278653.3083866,308,3022.654296875
1736278656.9534986,310,2745.17529296875
1736278670.6775749,318,2527.66796875
1736278721.3081777,347,1817.19580078125
1736278757.1978693,367,2750.014404296875
1736278854.1233497,421,3170.720703125
1736278856.070109,422,3194.39501953125
1736278892.9028604,442,3050.533935546875
1736278927.1213603,460,3129.865966796875
1736278953.0919225,474,3111.8232421875
1736279069.1165984,536,3288.748291015625
1736279120.2132647,563,3175.770751953125
1736279149.9197164,579,3231.531494140625
1736279161.974756,586,1888.81005859375
1736279164.0882053,587,3242.196533203125
1736279225.1071892,620,3311.76904296875
1736279251.0913231,634,3437.23583984375
1736279265.61278,642,3365.55126953125
1736279274.9776201,647,3283.446533203125
1736279278.3159206,649,1787.339111328125
1736279300.6358364,661,3243.21875
1736279318.4970388,671,2689.00634765625
1736279398.6088398,714,3213.724609375
1736279414.1838248,722,3143.857421875
1736279429.5322647,730,2587.250732421875
1736279480.5076005,756,3350.356201171875
1736279497.7161565,765,3419.079345703125
1736279505.4558582,769,3448.053955078125
1736279509.0491142,771,3454.02978515625
1736279535.9802096,785,3436.039794921875
1736279539.713684,787,3445.75537109375
1736279552.9845648,794,3530.7412109375
1736279567.9953194,802,3532.892578125
1736279578.934536,808,3568.103515625
1736279631.2711294,836,3439.485595703125
1736279771.6575952,909,3467.492919921875
1736279834.8082244,942,3425.30517578125
1736279840.5105736,945,3434.065185546875
1736279873.4601052,962,3415.089111328125
1736279890.433481,971,3432.10546875
1736279892.393837,972,2720.029296875
1736279903.7318766,978,3453.6396484375
1736279905.7207866,979,2424.482421875
1736279915.2506511,984,2379.072998046875
1736279948.889551,1002,2771.399658203125
1736279954.1919892,1005,1287.355712890625
1736279970.0342622,1014,3157.855712890625
1736280059.3489206,1063,3680.864013671875
1736280064.716963,1066,3695.1474609375
1736280076.1724055,1072,3649.974609375
1736280088.2693753,1078,3661.09814453125
1736280098.0178614,1083,3673.2900390625
1736280117.477199,1093,3587.82177734375
1736280129.3728933,1099,2017.204833984375
1736280138.8223758,1104,3577.385498046875
1736280239.9047894,1156,3581.722412109375
1736280249.3188243,1161,3567.689453125
1736280251.167793,1162,3592.23828125
1736280284.9102783,1180,3582.680908203125
1736280309.8344696,1193,3596.60009765625
1736280335.3745503,1206,3572.893310546875
1736280410.7109559,1244,3515.90576171875
1736280442.899551,1261,3449.298583984375
1736280481.9116435,1281,3468.43505859375
1736280506.592173,1294,3512.81884765625
1736280547.3806584,1316,1295.4329833984375
1736280553.2548823,1319,3234.4697265625
1736280581.183803,1333,3500.809326171875
1736280589.0026977,1337,3527.38525390625
1736280684.6854959,1385,3566.43017578125
1736280698.6873014,1392,3528.858642578125
1736280741.9715898,1414,3582.08740234375
1736280764.0061007,1426,3568.380859375
1736280783.5069597,1436,2679.449462890625
1736280841.6273837,1466,3248.67236328125
1736280862.8596282,1477,2505.931884765625
1736280876.833485,1485,2580.302734375
1736280887.0369117,1491,2619.420654296875
1736280946.3482187,1523,3490.63134765625
1736280953.6811993,1527,3489.4423828125
1736281000.468322,1552,3221.471435546875
1736281030.6478899,1568,3453.6787109375
1736281032.432537,1569,3077.30908203125
1736281058.4612546,1584,3230.737060546875
1736281065.7510083,1588,3199.7392578125
1736281095.4552646,1605,3227.1884765625
1736281158.250849,1640,3217.296142578125
1736281172.5593815,1648,3128.615234375
1736281208.7739024,1668,3185.27587890625
1736281234.3171904,1682,3256.554443359375
1736281251.7648447,1691,3394.849853515625
1736281263.5336866,1697,3323.939453125
1736281273.196744,1702,3279.052001953125
1736281287.0780478,1709,3299.6435546875
1736281304.7573292,1718,3314.0390625
1736281333.829217,1732,3300.147216796875
1736281337.6528633,1734,3310.067138671875
1736281343.4810593,1737,3313.546630859375
1736281360.928908,1746,3339.521484375
1736281427.6834693,1781,3431.85302734375
1736281473.396893,1805,3435.964599609375
1736281511.943791,1826,2613.120361328125
1736281547.19412,1844,3535.24072265625
1736281564.0821075,1853,3540.93994140625
1736281586.7464285,1866,2778.053955078125
1736281591.80494,1869,1867.5777587890625
1736281604.8287742,1877,988.1016235351562
1736281674.7031853,1917,1080.3184814453125
1736281703.050767,1934,1466.603271484375
1736281720.1357424,1944,1883.550537109375
1736281725.2623084,1947,1602.6192626953125
1736281759.1878653,1967,959.9718627929688
1736281786.0578847,1983,1348.6243896484375
1736281815.6304674,2001,1454.5218505859375
1736281835.3024447,2013,1529.8623046875
1736281862.9825287,2030,1477.2056884765625
1736281872.7988837,2036,1326.52734375
1736281913.2700253,2060,1364.852783203125
1736281935.1518521,2073,1221.8719482421875
1736281940.2640314,2076,1296.2259521484375
1736281942.0175602,2077,1237.1951904296875
1736281955.3538299,2085,1580.7220458984375
1736281962.2660728,2089,1533.44287109375
1736281974.1244073,2096,1476.148193359375
1736282056.1587605,2145,1882.02685546875
1736282062.3873966,2149,2115.88916015625
1736282073.2775133,2156,1669.468994140625
1736282086.9489074,2165,1383.786865234375
1736282120.9732761,2187,1216.85986328125
1736282126.9398534,2191,1306.9813232421875
1736282138.926315,2199,1165.4505615234375
1736282151.0671127,2207,1432.77587890625
1736282157.465203,2211,1251.8201904296875
1736282189.016584,2231,1386.6707763671875
1736282196.9662082,2236,1593.479736328125
1736282198.5089674,2237,1436.7867431640625
1736282206.4480925,2242,1383.4678955078125
1736282225.478656,2254,1875.09912109375
1736282230.5197592,2257,1319.64501953125
1736282238.510178,2262,1069.9901123046875
1736282267.5348942,2281,1001.8831176757812
1736282292.0832527,2297,1024.1390380859375
1736282308.512433,2307,1014.5762939453125
1736282327.9515245,2319,1050.6673583984375
1736282369.7990136,2345,1051.988037109375
1736282384.601045,2354,1046.3323974609375
1736282440.2131784,2389,939.8306274414062
1736282441.7498543,2390,932.9500732421875
1736282444.8199542,2392,925.5999145507812
1736282515.1845236,2436,1896.1572265625
1736282527.610225,2444,1661.677490234375
1736282541.4308083,2453,2713.11279296875
1736282544.5376933,2455,2005.7913818359375
1736282552.2349725,2460,2148.389892578125
1736282590.312133,2485,1962.218505859375
1736282591.832293,2486,1551.46630859375
1736282607.9691718,2496,1593.8018798828125
1736282611.2609577,2498,1465.0653076171875
1736282619.4115481,2503,1550.7738037109375
1736282642.2981105,2517,2247.684326171875
1736282651.947637,2523,1680.109619140625
1736282666.8947458,2532,3302.037841796875
1736282691.2654722,2547,1653.445068359375
1736282701.2912264,2553,2779.43359375
1736282780.040513,2600,1242.888671875
1736282789.9165812,2606,1927.2623291015625
1736282817.804614,2623,2161.1640625
1736282827.3986247,2629,1861.31640625
1736282907.9385254,2678,2391.982421875
1736282920.846733,2685,1906.9793701171875
1736282929.9364884,2690,2068.744384765625
1736282953.3503308,2703,2174.088134765625
1736283020.9555142,2740,3462.035888671875
1736283046.251477,2754,2542.940673828125
1736283108.479313,2789,2580.19873046875
1736283252.2045941,2872,1952.620361328125
1736283268.4259272,2881,1405.9229736328125
1736283284.5317001,2890,1066.50537109375
1736283295.241099,2896,1142.6517333984375
1736283338.1734164,2920,1611.5992431640625
1736283420.3540967,2967,2018.4056396484375
1736283434.216255,2975,1158.7532958984375
1736283493.4852028,3011,1562.9810791015625
1736283520.3896952,3027,1619.1680908203125
1736283525.317874,3030,1383.1455078125
1736283538.2288659,3038,1547.754150390625
1736283543.155082,3041,1589.1890869140625
1736283582.3226585,3065,1412.1136474609375
1736283588.7489545,3069,1242.3941650390625
1736283636.8163357,3099,1294.107177734375
1736283698.0840492,3137,1809.2889404296875
1736283727.1154656,3155,1658.0147705078125
1736283736.789259,3161,2092.1630859375
1736283762.8730545,3177,1555.2554931640625
1736283791.86059,3195,1747.73828125
1736283793.5064418,3196,2076.844482421875
1736283848.8142571,3230,1721.34619140625
1736283864.913808,3240,2075.94091796875
1736283869.8003724,3243,1455.25244140625
1736283871.4424968,3244,1798.505615234375
1736283874.773334,3246,1367.923583984375
1736283876.4628763,3247,1217.8970947265625
1736283917.4591112,3272,1599.54931640625
1736283970.7252936,3305,1465.2938232421875
1736284035.7313733,3345,1147.5726318359375
1736284085.4274595,3376,1233.007080078125
1736284128.9101322,3403,1597.5345458984375
1736284136.8875363,3408,1621.53466796875
1736284172.9160197,3430,1428.4056396484375
1736284202.9107583,3449,1310.3251953125
1736284226.7538424,3464,1971.672607421875
1736284252.4884958,3480,1776.558837890625
1736284298.847511,3509,1241.84130859375
1736284303.560363,3512,1332.931640625
1736284343.0902638,3537,1068.40185546875
1736284383.1579437,3563,1157.122802734375
1736284409.4084537,3580,1135.7147216796875
1736284440.0798776,3600,1113.544677734375
1736284467.4040146,3618,1058.8363037109375
1736284470.5367424,3620,1130.4283447265625
1736284473.60752,3622,1148.9415283203125
1736284482.8216257,3628,1200.169189453125
1736284526.539753,3656,1257.5596923828125
1736284548.6879294,3670,1424.6707763671875
1736284632.5087006,3726,1490.572021484375
1736284638.287805,3730,1525.0819091796875
1736284654.6363513,3741,1243.7957763671875
1736284700.4039464,3772,1202.1856689453125
1736284712.2024052,3780,1488.6319580078125
1736284731.4505174,3793,1552.796875
1736284738.7768598,3798,1534.4908447265625
1736284762.2962732,3814,1602.4652099609375
1736284769.7017295,3819,1541.765625
1736284772.8649027,3821,1553.6026611328125
1736284787.2229576,3831,1787.887939453125
1736284793.1201193,3835,1863.044189453125
1736284835.4156036,3864,1411.59375
1736284853.149206,3876,1407.697509765625
1736284930.643672,3928,1805.6722412109375
1736284946.8470917,3939,1533.04052734375
1736284972.6195817,3956,1724.8641357421875
1736285014.3930938,3984,1540.5693359375
1736285053.9942546,4010,1338.69189453125
1736285072.3664794,4022,2036.16455078125
1736285089.247834,4033,1956.7078857421875
1736285093.5912292,4036,1767.74658203125
1736285180.9866588,4093,2460.8037109375
1736285188.5957484,4098,2095.9287109375
1736285190.1775408,4099,2809.269775390625
1736285205.4787843,4109,2697.886474609375
1736285323.5782278,4182,940.8336791992188
1736285340.5965786,4193,962.7135620117188
1736285342.2646747,4194,915.4442138671875
1736285345.4173257,4196,961.2789916992188
