Wall time,Step,Value
1736278290.750331,18,206.79798889160156
1736278328.8190644,42,563.1394653320312
1736278333.5509844,45,664.7631225585938
1736278350.8415005,56,921.537109375
1736278374.7102625,71,1016.6774291992188
1736278379.6656961,74,1064.8016357421875
1736278411.2222738,94,672.3668823242188
1736278515.2837007,155,3059.706298828125
1736278521.1021428,158,3041.742431640625
1736278538.2136238,167,3149.405517578125
1736278660.0994258,229,3431.86865234375
1736278669.7522097,234,3469.79443359375
1736278711.538442,255,3446.748046875
1736278721.5606632,260,3449.4580078125
1736278736.0302281,267,3511.190185546875
1736278747.6169257,273,3578.69921875
1736278815.6783078,308,3669.319091796875
1736278819.5487442,310,3671.365478515625
1736278835.5350027,318,3639.557861328125
1736278893.5202715,347,3707.4453125
1736278933.9984756,367,3708.369873046875
1736279040.9051166,421,3501.2109375
1736279042.843154,422,3505.23095703125
1736279082.0693228,442,3488.396240234375
1736279118.312737,460,3621.54150390625
1736279145.3737633,474,3557.257568359375
1736279267.8353255,536,3526.4853515625
1736279319.8134825,563,3295.979248046875
1736279350.3619428,579,3598.18603515625
1736279363.9318824,586,3595.714111328125
1736279365.806386,587,3637.058837890625
1736279430.6143427,620,3592.68798828125
1736279457.9345276,634,3620.7763671875
1736279474.4991472,642,3647.06640625
1736279484.5279377,647,3651.410400390625
1736279488.5364006,649,3652.35595703125
1736279512.9698396,661,3614.43310546875
1736279532.4512992,671,3657.663818359375
1736279618.3322654,714,3669.46435546875
1736279633.8873403,722,3691.541748046875
1736279650.001849,730,3698.39794921875
1736279702.9952247,756,3672.85205078125
1736279720.9804904,765,3679.455078125
1736279728.935833,769,3658.998291015625
1736279732.96342,771,3669.738525390625
1736279761.127269,785,3674.479736328125
1736279765.2448804,787,3685.7958984375
1736279778.7460642,794,3677.79248046875
1736279794.4964194,802,3681.4677734375
1736279806.6765745,808,3675.88134765625
1736279862.646972,836,2246.057861328125
1736280007.0085921,909,3638.015380859375
1736280064.8332536,942,2437.010498046875
1736280069.9747572,945,2290.259765625
1736280100.313348,962,2963.845947265625
1736280117.562867,971,3617.9130859375
1736280119.4837947,972,3620.206787109375
