Wall time,Step,Value
1736278486.239521,18,93.07366943359375
1736278521.9751227,42,258.7357482910156
1736278526.4003928,45,260.5194091796875
1736278543.0163722,56,259.6445617675781
1736278565.9397473,71,260.1607360839844
1736278570.6115227,74,260.1257629394531
1736278601.420471,94,263.4703063964844
1736278696.509762,155,264.0701904296875
1736278701.3324535,158,265.48236083984375
1736278715.8610187,167,263.5549621582031
1736278816.978813,229,272.3432922363281
1736278825.2986977,234,276.2552795410156
1736278859.9501104,255,279.21417236328125
1736278868.1508994,260,285.134765625
1736278879.574193,267,283.8984069824219
1736278889.2960002,273,284.1917724609375
1736278946.7254016,308,284.9397888183594
1736278950.1174316,310,280.64447021484375
1736278963.0639176,318,278.4331359863281
1736279010.546233,347,268.7424011230469
1736279043.0240636,367,278.6544494628906
1736279130.714669,421,291.27191162109375
1736279132.3241532,422,288.65185546875
1736279165.47524,442,286.2431640625
1736279194.9693148,460,280.48834228515625
1736279217.8516147,474,267.1421813964844
1736279317.5285492,536,282.7278747558594
1736279359.9183998,563,298.1847839355469
1736279385.6861422,579,323.0474853515625
1736279397.1715295,586,335.3702697753906
1736279398.815043,587,332.2243957519531
1736279453.0764644,620,375.7083740234375
1736279476.1778889,634,370.9336853027344
1736279489.1619036,642,373.0055847167969
1736279497.4105062,647,372.8895263671875
1736279500.676966,649,379.5023193359375
1736279520.3670285,661,377.6318664550781
1736279536.492846,671,382.6823425292969
1736279607.163881,714,383.385009765625
1736279620.1867685,722,382.87908935546875
1736279633.4293134,730,389.3742980957031
1736279676.43907,756,392.5679626464844
1736279691.4664369,765,399.4776916503906
1736279698.124417,769,412.4037170410156
1736279701.2664618,771,407.23443603515625
1736279724.2222743,785,408.994873046875
1736279727.4372463,787,414.9602355957031
1736279739.0885952,794,413.64324951171875
1736279752.5238678,802,406.912109375
1736279762.5794735,808,414.3074951171875
1736279810.0776403,836,419.5229797363281
1736279934.6576397,909,419.5499267578125
1736279988.9938745,942,410.88153076171875
1736279993.9939046,945,405.04144287109375
1736280021.6757803,962,422.065673828125
1736280035.8596337,971,407.5673828125
1736280037.3468087,972,417.3703918457031
1736280046.6278307,978,422.66656494140625
1736280048.254137,979,428.2040710449219
1736280056.1665545,984,408.3796691894531
1736280085.3829365,1002,401.53314208984375
1736280090.33482,1005,393.2696228027344
1736280104.9636593,1014,403.658203125
