Wall time,Step,Value
1736278718.6572814,18,324.82806396484375
1736278772.2609415,42,362.99053955078125
1736278778.8813696,45,343.6017761230469
1736278803.0095356,56,350.6833190917969
1736278836.2001603,71,352.2826843261719
1736278842.920477,74,353.0304260253906
1736278886.7535157,94,363.07818603515625
1736279019.2242148,155,413.4505920410156
1736279025.7366233,158,432.2542724609375
1736279045.1234617,167,471.8118896484375
1736279181.1901457,229,1926.15625
1736279192.182744,234,1125.9259033203125
1736279239.5353992,255,996.9255981445312
1736279250.7642777,260,1129.4468994140625
1736279266.1686754,267,1446.6153564453125
1736279279.7063518,273,937.8461303710938
1736279357.9775956,308,2102.4287109375
1736279362.506238,310,1096.8125
1736279381.1107585,318,1499.5166015625
1736279448.6939774,347,1193.7264404296875
1736279495.5050383,367,1492.0023193359375
1736279618.3562279,421,1873.7138671875
1736279620.691042,422,1381.4381103515625
1736279666.8880148,442,1792.10009765625
1736279709.050574,460,2517.699462890625
1736279742.6222806,474,2163.387451171875
1736279893.4993095,536,1545.0770263671875
1736279957.4954934,563,2071.992431640625
1736279993.876474,579,2725.566162109375
1736280010.004941,586,1890.6038818359375
1736280012.196296,587,2485.716552734375
1736280087.4087,620,1769.9010009765625
1736280120.548275,634,3097.94873046875
1736280139.145458,642,2734.104736328125
1736280151.480108,647,3112.61865234375
1736280156.0742745,649,2705.122314453125
1736280184.06541,661,1834.73388671875
1736280207.1229374,671,2788.2939453125
1736280309.3215508,714,2528.51904296875
1736280328.2360673,722,2455.89599609375
1736280348.3438065,730,2407.130126953125
1736280411.5357802,756,2684.755859375
1736280434.292424,765,3867.654541015625
1736280443.6163824,769,3460.306396484375
1736280448.5366964,771,3139.569091796875
1736280483.9139931,785,3903.63623046875
1736280488.539546,787,3114.593994140625
1736280506.673651,794,3709.623046875
1736280527.2291222,802,1845.472900390625
1736280542.4203625,808,2758.503173828125
1736280615.2109349,836,2905.826416015625
1736280802.7883048,909,3124.7998046875
1736280883.3860626,942,2770.673828125
1736280890.5323272,945,3197.54736328125
1736280931.8914087,962,2996.34423828125
1736280954.263718,971,3190.1904296875
1736280956.5439265,972,3138.43115234375
1736280972.0861049,978,4266.45751953125
1736280974.7024355,979,3976.80517578125
1736280986.7069428,984,3584.902099609375
1736281031.7116058,1002,4416.1181640625
1736281039.422111,1005,4364.26611328125
1736281061.1424518,1014,3490.1328125
1736281175.1337337,1063,3050.099853515625
1736281181.9953244,1066,2477.14794921875
1736281195.9425662,1072,1684.603759765625
1736281209.7117321,1078,3062.54931640625
1736281221.4181464,1083,2905.9619140625
1736281246.3895288,1093,3443.248291015625
1736281260.794491,1099,3351.754150390625
1736281272.599561,1104,3371.70654296875
1736281404.3791468,1156,3792.390625
1736281416.6743994,1161,3286.619384765625
1736281418.7904067,1162,2929.742919921875
1736281462.9834719,1180,3369.47314453125
1736281493.003826,1193,3114.436279296875
1736281525.8418877,1206,3506.010498046875
1736281621.4598787,1244,3353.2626953125
1736281666.1830108,1261,3809.37060546875
1736281719.0516803,1281,3949.791259765625
1736281752.2275908,1294,3215.06787109375
1736281808.2569053,1316,2159.89306640625
1736281815.655749,1319,2573.14794921875
1736281850.3050199,1333,3038.51123046875
1736281860.3682258,1337,4396.28076171875
1736281985.701105,1385,4454.6689453125
1736282003.8495128,1392,4496.9970703125
1736282059.0950184,1414,2432.556884765625
1736282087.7504354,1426,4544.29736328125
1736282111.0541635,1436,3302.576416015625
1736282182.7067676,1466,2190.701416015625
1736282210.2256446,1477,3159.539306640625
1736282230.663562,1485,3390.974853515625
1736282245.5555832,1491,3841.67333984375
1736282324.1790028,1523,4627.634765625
1736282334.2138402,1527,4641.921875
1736282398.5262802,1552,4612.01171875
1736282439.3275313,1568,4600.248046875
1736282441.8481405,1569,4519.28564453125
1736282479.663409,1584,4226.03759765625
1736282489.6498125,1588,3498.54296875
1736282531.800035,1605,4566.79150390625
1736282614.848423,1640,2743.233642578125
1736282633.5543785,1648,2358.703369140625
1736282683.9680414,1668,2185.578857421875
1736282716.9695275,1682,2959.60205078125
1736282739.2321289,1691,3245.674072265625
1736282754.1285384,1697,4583.45703125
1736282767.1565423,1702,3413.068603515625
1736282784.3325913,1709,4204.58935546875
1736282806.0297859,1718,3085.111083984375
1736282840.8282096,1732,4084.867919921875
1736282845.723779,1734,3879.97802734375
1736282853.407359,1737,4594.1728515625
1736282876.0574949,1746,4622.9326171875
1736282974.0161521,1781,3386.999755859375
1736283041.1956377,1805,3303.0380859375
1736283100.8508668,1826,3196.07666015625
1736283149.8138406,1844,4655.53759765625
1736283175.1849155,1853,4499.0263671875
1736283210.9475162,1866,3506.1728515625
1736283219.4975889,1869,4758.90966796875
1736283242.507068,1877,3261.350830078125
1736283359.6941206,1917,3083.269287109375
1736283407.2141461,1934,3456.84228515625
1736283434.3133512,1944,2520.961669921875
1736283442.752778,1947,4704.13623046875
1736283495.4009283,1967,3627.29931640625
1736283537.4665885,1983,4578.91455078125
1736283585.802611,2001,4720.3974609375
1736283617.7912488,2013,3772.286376953125
1736283662.243884,2030,3810.11962890625
1736283678.584621,2036,4683.166015625
1736283741.3478773,2060,2390.6484375
1736283773.9846592,2073,3318.26953125
1736283781.9715178,2076,2720.017333984375
1736283784.3949566,2077,3883.53271484375
1736283804.7509553,2085,4703.37744140625
1736283814.6046193,2089,3551.50732421875
1736283832.9871593,2096,2608.846923828125
1736283955.2245748,2145,4912.53466796875
1736283965.669637,2149,4859.48291015625
1736283983.1528175,2156,4538.69873046875
1736284006.4810705,2165,4856.6689453125
1736284061.5053382,2187,3531.388916015625
1736284071.9025936,2191,3604.99462890625
1736284092.2247293,2199,4813.04052734375
1736284112.360098,2207,3216.83447265625
1736284122.504988,2211,4752.77783203125
1736284173.1311727,2231,4700.94921875
1736284185.5054178,2236,4672.720703125
1736284187.8044772,2237,2244.1611328125
1736284199.7837234,2242,4039.363525390625
1736284229.1125684,2254,4031.791259765625
1736284236.9306772,2257,2398.301025390625
1736284249.7539964,2262,4170.83349609375
1736284296.1307714,2281,3008.768798828125
1736284337.6091177,2297,3448.624755859375
1736284363.455651,2307,3005.378173828125
1736284393.8692877,2319,4706.9375
1736284457.1534388,2345,3310.641357421875
1736284479.6324506,2354,2408.794921875
1736284566.720495,2389,3492.799072265625
1736284568.8903074,2390,2508.02392578125
1736284573.7519307,2392,3238.519287109375
1736284675.5520637,2436,4605.90869140625
1736284695.730032,2444,3716.11865234375
1736284717.2279773,2453,3233.748046875
1736284721.8465607,2455,2506.2578125
1736284733.7453103,2460,3801.503173828125
1736284791.1327648,2485,3510.197509765625
1736284793.5535975,2486,4179.318359375
1736284816.7751973,2496,2822.462890625
1736284821.2089376,2498,3249.5771484375
1736284832.5621955,2503,2438.877685546875
1736284863.4602191,2517,4528.53271484375
1736284876.6298642,2523,1208.0511474609375
1736284897.2276351,2532,3406.320068359375
1736284931.9381187,2547,3169.642333984375
1736284945.5835128,2553,2049.170166015625
1736285049.4543686,2600,3434.137939453125
1736285062.988457,2606,2923.9365234375
1736285101.732512,2623,3508.90966796875
1736285115.6532407,2629,3194.8515625
1736285228.13334,2678,4289.4736328125
1736285244.100166,2685,2926.10546875
1736285255.653535,2690,3054.46435546875
1736285286.663896,2703,3122.913330078125
1736285378.7404935,2740,4853.9443359375
1736285414.4541092,2754,3488.3193359375
1736285501.7603345,2789,2562.8701171875
1736285711.2766795,2872,4822.23974609375
1736285732.5739856,2881,3280.56787109375
1736285753.7359326,2890,2761.686279296875
1736285768.0688264,2896,3585.958740234375
1736285827.8257678,2920,1447.8018798828125
1736285946.1953278,2967,4814.5029296875
1736285966.8261044,2975,4721.88916015625
1736286057.2597852,3011,3439.72021484375
1736286097.6893797,3027,4729.09130859375
1736286104.6817496,3030,4650.87548828125
1736286124.4873068,3038,4344.79052734375
1736286131.687945,3041,3350.998779296875
1736286189.6890671,3065,3179.345458984375
1736286199.7358375,3069,4908.67724609375
1736286271.9432287,3099,3433.841796875
1736286365.4029615,3137,4577.2138671875
1736286409.7353022,3155,4822.83349609375
1736286424.0686612,3161,4363.9111328125
1736286465.7905293,3177,4887.6796875
1736286509.7774374,3195,3423.479736328125
1736286512.2356012,3196,3881.8134765625
1736286594.3276722,3230,3581.753662109375
1736286619.0952852,3240,4736.94580078125
1736286626.0102625,3243,4826.34228515625
1736286628.3599632,3244,4134.92578125
1736286633.2453141,3246,2890.67529296875
1736286635.6312225,3247,4703.1728515625
1736286698.0684068,3272,3354.608154296875
1736286776.6367834,3305,4757.0517578125
1736286872.5863342,3345,3371.204345703125
1736286948.3374326,3376,4360.28173828125
1736287015.25738,3403,3355.938720703125
1736287027.3233738,3408,4717.8916015625
1736287081.6757174,3430,3886.6865234375
1736287127.7136734,3449,3286.145263671875
1736287163.0052304,3464,2964.6640625
1736287201.7174134,3480,4871.97119140625
1736287275.2961655,3509,3292.778564453125
1736287282.1881647,3512,3164.39794921875
1736287342.3459184,3537,4856.64599609375
1736287407.78862,3563,3572.35888671875
1736287449.5842252,3580,4853.2021484375
1736287498.578123,3600,3427.408935546875
1736287543.830002,3618,2530.95556640625
1736287548.7746363,3620,4793.373046875
1736287553.5847414,3622,4249.0390625
1736287568.2614698,3628,3407.510009765625
1736287639.192111,3656,3298.613525390625
1736287671.975214,3670,3612.46142578125
1736287807.1055596,3726,4006.191162109375
1736287817.1271274,3730,4937.83740234375
1736287845.4712255,3741,4456.58203125
1736287922.133913,3772,4849.41015625
1736287941.103714,3780,2422.574462890625
1736287971.9700782,3793,4746.86328125
1736287983.993289,3798,3946.342529296875
1736288021.0203578,3814,4957.0986328125
1736288033.8960986,3819,3904.867431640625
1736288038.5063787,3821,3666.947265625
1736288064.971019,3831,2174.7919921875
1736288074.8047671,3835,4805.55126953125
1736288146.2992332,3864,2303.5634765625
1736288176.8150198,3876,3476.694580078125
1736288305.578503,3928,2561.61474609375
1736288331.692138,3939,3402.55615234375
1736288372.6724737,3956,3780.486083984375
1736288439.872735,3984,3147.146240234375
1736288503.5977058,4010,4370.8544921875
1736288531.8745446,4022,2556.365966796875
1736288559.2916818,4033,2151.947021484375
1736288567.0996733,4036,3066.85791015625
1736288706.0552218,4093,3286.93212890625
1736288718.3890595,4098,4689.60595703125
1736288720.9177399,4099,1808.21630859375
1736288745.6427994,4109,4452.294921875
1736288921.0798008,4182,3435.742431640625
1736288946.7401984,4193,3719.903076171875
1736288948.9286754,4194,3365.4853515625
1736288953.45909,4196,3213.111328125
1736288965.466298,4201,3299.331787109375
1736288968.109349,4202,2431.49658203125
1736289027.1168885,4227,3880.1748046875
1736289039.1360397,4232,4454.89111328125
1736289046.379981,4235,2835.111572265625
1736289066.6234257,4243,2578.629150390625
1736289115.2873042,4263,4713.39013671875
1736289123.0160325,4266,4023.630859375
1736289125.409269,4267,2449.484130859375
1736289162.9688528,4282,4524.525390625
1736289217.457215,4304,3775.082275390625
1736289250.1943622,4317,4187.798828125
1736289255.2836826,4319,3401.4521484375
1736289286.6789188,4332,2332.30859375
1736289379.1947267,4369,4773.80908203125
1736289434.9336147,4393,3160.9794921875
1736289451.846757,4400,3470.805908203125
1736289466.0156553,4406,4781.98681640625
1736289521.6979313,4430,4150.0517578125
1736289528.714129,4433,3458.473876953125
1736289671.3159955,4492,3723.424560546875
1736289712.228421,4509,3272.4736328125
1736289714.6996624,4510,3685.69140625
1736289760.2984543,4530,3657.481201171875
1736289767.3161223,4533,3707.9609375
1736289789.138136,4542,2752.90966796875
1736289877.5415347,4578,4755.1591796875
1736289884.3501713,4581,3674.026611328125
1736289921.985648,4597,3418.36767578125
1736289994.0240808,4628,3567.341552734375
1736290062.5110495,4656,3400.4443359375
1736290081.959979,4664,3343.944580078125
1736290091.6710103,4668,3468.413330078125
1736290110.7530656,4676,4855.314453125
1736290137.369795,4687,3315.048828125
1736290203.0436366,4713,3456.288330078125
1736290215.189931,4718,4644.6083984375
1736290254.6910748,4734,4213.01611328125
1736290295.1450033,4750,4117.62939453125
1736290314.0828078,4758,3611.70849609375
1736290334.9084136,4767,4895.1640625
1736290358.5350738,4776,4858.61279296875
1736290386.0243475,4787,3240.436279296875
1736290388.7129126,4788,3404.6708984375
1736290417.645686,4800,4933.91943359375
1736290422.7019773,4802,4957.99267578125
1736290518.5421517,4840,4913.84326171875
